Start,arrivals,departures
"Everington Street, Fulham",8078,8529
"Eversholt Street , Camden Town",6652,7430
"Evesham Street, Avondale",3381,3313
"Exhibition Road Museums, South Kensington",20015,19343
"Exhibition Road, Knightsbridge",33274,30364
"Falcon Road, Clapham Junction",21276,20627
"Falkirk Street, Hoxton",7347,8108
"Fanshaw Street, Hoxton",12743,14939
"Farm Street, Mayfair",6355,5630
"Farringdon Lane, Clerkenwell",12020,11928
"Farringdon Street, Holborn",8382,8337
"Fashion Street, Whitechapel",9342,8911
"Felsham Road, Putney",6375,6122
"Ferndale Road, Brixton. ",6620,6211
"Finnis Street, Bethnal Green",7857,8653
"Finsbury Circus, Liverpool Street",37378,32733
"Finsbury Leisure Centre, St. Luke's",25914,26135
"Finsbury Library , Finsbury",9062,9811
"Finsbury Square , Moorgate",23106,20381
"Fire Brigade Pier, Vauxhall",13307,14731
"Flamborough Street, Limehouse",20000,20286
"Flood Street, Chelsea",23111,23163
"Foley Street, Fitzrovia",12585,12330
"Fore Street Avenue, Guildhall",9111,8106
"Fore Street, Guildhall",11181,10743
"Fournier Street, Whitechapel",17986,17485
"Frampton Street, Paddington",4354,5512
"Frith Street, Soho",18047,16698
"Fulham Broadway, Walham Green",29121,28992
"Furze Green, Bow",9322,9827
"Garnet Street, Shadwell",9452,10066
"Gaywood  Street, Elephant & Castle",9319,9758
"George Place Mews, Marylebone",10695,10722
"George Street, Marylebone",16196,14660
"Geraldine Street, Elephant & Castle",3286,3636
"Globe Town Market, Bethnal Green",11528,12229
"Gloucester Avenue, Camden Town",10865,11795
"Gloucester Road (North), Kensington",12762,12608
"Gloucester Road Station, South Kensington",24650,24753
"Gloucester Street, Pimlico",11594,12616
"Gloucester Terrace, Bayswater",8139,9028
"Godliman Street, St. Paul's",25832,23270
"Golden Lane, Barbican",12937,12494
"Golden Square, Soho",16790,15707
"Goldsmith's Row, Haggerston",13200,15117
"Good's Way, King's Cross",22307,22332
"Gower Place , Euston",10125,10908
"Grafton Street, Mayfair",8933,7457
"Graham Street, Angel",17522,20364
"Granby Street, Shoreditch",15839,16580
"Grant Road East, Clapham Junction",13254,12888
"Great Dover Street, The Borough",10475,11326
"Great Marlborough Street, Soho",26420,23135
"Great Percy Street, Clerkenwell",10593,11340
"Great Russell Street, Bloomsbury",15252,14664
"Great Suffolk Street, The Borough",11469,12066
"Great Titchfield Street, Fitzrovia",12256,12043
"Great Tower Street, Monument",35675,32783
"Green Park Station, Mayfair",30692,29534
"Green Street, Mayfair",19436,19207
"Greenland Road, Camden Town",17031,16135
"Greycoat Street , Westminster",5891,5797
"Greyhound Road, Hammersmith",10781,11141
"Grosvenor Crescent, Belgravia",5322,5442
"Grosvenor Road, Pimlico",6746,8063
"Grosvenor Square, Mayfair",13843,12036
"Grove End Road, St. John's Wood",8044,9346
"Guildhouse Street, Victoria",8690,8801
"Guilford Street , Bloomsbury",15381,15293
"Haggerston Road, Haggerston",13902,14510
"Halford Road, West Kensington",10651,10928
"Hammersmith Road, Hammersmith",12926,12952
"Hammersmith Town Hall, Hammersmith",4215,3699
"Hampstead Road, Euston",12569,15436
"Hampton Street, Walworth",11326,11897
"Handyside Street, King's Cross",10839,11733
"Harcourt Terrace, West Brompton",10722,11415
"Hardwick Street, Clerkenwell",4915,7384
"Harford Street, Mile End",6673,7276
"Harper Road, The Borough",8167,7706
"Harriet Street, Knightsbridge",15167,14480
"Harrington Square 1, Camden Town",3614,4439
"Harrington Square 2, Camden Town",9613,10661
"Harrowby Street, Marylebone",6720,7433
"Hartington Road, Stockwell",11645,11968
"Hatton Garden, Holborn",15895,17043
"Hatton Wall, Holborn",21835,21160
"Hawley Crescent, Camden Town",5925,5939
"Heath Road, Battersea",4387,4725
"Hereford Road, Bayswater",10524,11466
"Hertford Road, De Beauvoir Town",13459,15182
"Hewison Street, Old Ford",7945,8144
"Hibbert Street, Battersea",9804,9782
"High Holborn , Covent Garden",12806,12258
"Hinde Street, Marylebone",15384,14875
"Holborn Circus, Holborn",53028,36953
"Holden Street, Battersea",3775,4215
"Holland Park, Kensington",6205,7761
"Hollybush Gardens, Bethnal Green",7682,7862
"Holy Trinity Brompton, Knightsbridge",12566,11264
"Hop Exchange, The Borough",63174,46244
"Horseferry Road, Westminster",15628,14927
"Hortensia Road, West Brompton",9454,9805
"Houghton Street, Strand",6511,6460
"Houndsditch, Aldgate",13847,13193
"Howick Place, Westminster",21765,18198
"Howland Street, Fitzrovia",18144,17006
"Hoxton Station, Hoxton",6092,6973
"Hoxton Street, Hoxton",7781,8947
"Hurlingham Park, Parsons Green",3664,3888
"Hyde Park Corner, Hyde Park",70808,70311
"Ilchester Gardens, Bayswater",13947,15257
"Ilchester Place, Kensington",3335,3829
"Imperial College, Knightsbridge",19419,18153
"Imperial Road, Sands End",7840,7746
"Imperial Wharf Station, Sands End",18422,18235
"Import Dock, Canary Wharf",5691,5573
"Ingrave Street, Clapham Junction",2985,2844
"Irene Road, Parsons Green",7687,8334
"Islington Green, Angel",23819,24579
"Jewry Street, Aldgate",16866,16225
"Jubilee Gardens, South Bank",19394,16018
"Jubilee Plaza, Canary Wharf",9664,9412
"Jubilee Street, Stepney",7392,9103
"Kennington Cross, Kennington",17634,18200
"Kennington Lane Rail Bridge, Vauxhall",31847,31561
"Kennington Lane Tesco, Vauxhall",4428,4307
"Kennington Oval, Oval",10854,10836
